AGLT2	usatlas	473652	636144	1991132	704165	2204037	4	2009	2009-04-01	2009-04-30	3.13	2009-06-01 11:57:24
BNL_ATLAS_1	usatlas	2022013	969321	2231378	1451018	3340245	4	2009	2009-04-01	2009-04-30	2.302	2009-06-01 11:57:25
BU_ATLAS_Tier2	usatlas	791479	180159	364281	219663	444159	4	2009	2009-04-01	2009-04-30	2.022	2009-06-01 11:57:25
CIT_CMS_T2	cms	76521	199505	478414	247714	594019	4	2009	2009-04-01	2009-04-30	2.398	2009-06-01 11:57:26
CIT_CMS_T2	usatlas	523	0	1	23	55	4	2009	2009-04-01	2009-04-30	2.398	2009-06-01 11:57:26
GLOW	cms	157567	287543	692405	536120	1290977	4	2009	2009-04-01	2009-04-30	2.408	2009-06-01 11:57:26
GLOW	usatlas	801	250	603	3069	7389	4	2009	2009-04-01	2009-04-30	2.408	2009-06-01 11:57:26
IU_OSG	usatlas	67292	55658	116937	60543	127200	4	2009	2009-04-01	2009-04-30	2.101	2009-06-01 11:57:24
MIT_CMS	cms	56122	153645	287623	183776	344029	4	2009	2009-04-01	2009-04-30	1.872	2009-06-01 11:57:25
MIT_CMS	usatlas	697	1	2	19	35	4	2009	2009-04-01	2009-04-30	1.872	2009-06-01 11:57:25
MWT2_IU	usatlas	231387	295263	542103	317294	582553	4	2009	2009-04-01	2009-04-30	1.836	2009-06-01 11:57:24
MWT2_UC	usatlas	582094	448098	867070	575140	1112896	4	2009	2009-04-01	2009-04-30	1.935	2009-06-01 11:57:24
Nebraska	cms	76664	115842	234812	205302	416148	4	2009	2009-04-01	2009-04-30	2.027	2009-06-01 11:57:25
Nebraska	usatlas	686	1	2	59	119	4	2009	2009-04-01	2009-04-30	2.027	2009-06-01 11:57:25
OU_OCHEP_SWT2	usatlas	95213	60087	143549	108406	258982	4	2009	2009-04-01	2009-04-30	2.389	2009-06-01 11:57:26
Purdue-RCAC	cms	81071	71880	207231	98729	284636	4	2009	2009-04-01	2009-04-30	2.883	2009-06-01 11:57:24
Purdue-Steele	cms	13370	20164	64445	25840	82585	4	2009	2009-04-01	2009-04-30	3.196	2009-06-01 11:57:24
SPRACE	cms	36831	3341	7072	19510	41303	4	2009	2009-04-01	2009-04-30	2.117	2009-06-01 11:57:24
SPRACE	usatlas	1401	1	2	58	123	4	2009	2009-04-01	2009-04-30	2.117	2009-06-01 11:57:24
SWT2_CPB	usatlas	711970	277756	521347	319519	599737	4	2009	2009-04-01	2009-04-30	1.877	2009-06-01 11:57:26
UCSDT2	cms	117231	206470	592775	280432	805121	4	2009	2009-04-01	2009-04-30	2.871	2009-06-01 11:57:23
UCSDT2	usatlas	1224	0	1	28	80	4	2009	2009-04-01	2009-04-30	2.871	2009-06-01 11:57:23
UFlorida-HPC	cms	68744	109611	166718	161139	245093	4	2009	2009-04-01	2009-04-30	1.521	2009-06-01 11:57:23
UFlorida-HPC	usatlas	625	12	18	44	66	4	2009	2009-04-01	2009-04-30	1.521	2009-06-01 11:57:23
UFlorida-PG	cms	26458	53988	82871	67528	103656	4	2009	2009-04-01	2009-04-30	1.535	2009-06-01 11:57:24
UFlorida-PG	usatlas	675	1	1	30	47	4	2009	2009-04-01	2009-04-30	1.535	2009-06-01 11:57:24
USCMS-FNAL-WC1-CE	cms	375720	1795312	3247719	2262289	4092482	4	2009	2009-04-01	2009-04-30	1.809	2009-06-01 11:57:25
USCMS-FNAL-WC1-CE	usatlas	1100	1	2	249	450	4	2009	2009-04-01	2009-04-30	1.809	2009-06-01 11:57:25
UTA_SWT2	usatlas	109440	104935	161915	113886	175726	4	2009	2009-04-01	2009-04-30	1.543	2009-06-01 11:57:25
WT2	usatlas	512181	265856	641245	305036	735746	4	2009	2009-04-01	2009-04-30	2.412	2009-06-01 11:57:24
