AGLT2	8.5	atlas	1285644	2274893	2539187	19336598	21583089	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-AGLT2	"AGLT2","AGLT2_CE_2"	03	2012
BNL-ATLAS	12.372	atlas	2098146	5323707	6276627	65864893	77654422	2012-03-01	2012-03-31	2012-04-07 17:53:10	BNL_ATLAS_1	"BNL_ATLAS_1","BNL_ATLAS_2","BNL_ATLAS_3","BNL_ATLAS_4","BNL_ATLAS_5","BNL_ATLAS_6","BNL_ATLAS_7"	03	2012
BNL-ATLAS	12.372	cms	92	1	30	13	376	2012-03-22	2012-03-27	2012-04-07 17:53:10	BNL_ATLAS_1	"BNL_ATLAS_1","BNL_ATLAS_2","BNL_ATLAS_3","BNL_ATLAS_4","BNL_ATLAS_5","BNL_ATLAS_6","BNL_ATLAS_7"	03	2012
BU_ATLAS_Tier2	8.38	atlas	262818	401839	429388	3367405	3598268	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-NET2	"BU_ATLAS_Tier2"	03	2012
CIT_CMS_T2	12.944	cms	200215	1085955	1215134	14056606	15728683	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Caltech	"CIT_CMS_T2","CIT_CMS_T2B"	03	2012
GLOW	9.632	cms	225598	1353309	1522430	13035072	14664048	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Wisconsin	"GLOW","GLOW-CMS"	03	2012
GridUNESP_CENTRAL	14.688	cms	566	10895	10922	160030	160426	2012-03-14	2012-03-23	2012-04-07 17:53:10	BR-SP-SPRACE	"GridUNESP_CENTRAL"	03	2012
HU_ATLAS_Tier2	8.872	atlas	381565	1180902	1294447	10476963	11484341	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-NET2	"HU_ATLAS_Tier2"	03	2012
LC-glcc	15.68	alice	124562	356324	485535	5587166	7613189	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-LLNL-ALICE	"LC-glcc"	03	2012
MIT_CMS	7.488	cms	307861	1259749	1362517	9432991	10202523	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_MIT	"MIT_CMS","MIT_CMS_2"	03	2012
MWT2	8.712	atlas	513851	2178809	2441392	18981784	21269405	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-MWT2	"MWT2"	03	2012
NERSC-PDSF	13.92	alice	139356	190306	306622	2649053	4268177	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-LBNL-ALICE	"NERSC-PDSF"	03	2012
Nebraska	10.412	atlas	2605	16065	109	167265	1139	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	03	2012
Nebraska	10.412	cms	312963	3584128	1466271	37317955	15266851	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	03	2012
OU_OCHEP_SWT2	9.02	atlas	199889	578476	607501	5217847	5479660	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-SWT2	"OU_OCHEP_SWT2"	03	2012
Purdue-Hansen	8.68	cms	93380	678608	727415	5890310	6313976	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Purdue	"Purdue-Hansen"	03	2012
Purdue-RCAC	12.124	cms	199212	1216479	1587605	14748607	19248156	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Purdue	"Purdue-RCAC"	03	2012
Purdue-Rossmann	11.24	cms	145149	1830414	1969786	20573845	22140391	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Purdue	"Purdue-Rossmann"	03	2012
Purdue-Steele	12.784	cms	5567	20246	4417	258830	56455	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Purdue	"Purdue-Steele"	03	2012
SPRACE	13.48	cms	27713	92216	145058	1243063	1955388	2012-03-01	2012-03-31	2012-04-07 17:53:10	BR-SP-SPRACE	"SPRACE"	03	2012
SWT2_CPB	8.428	atlas	485884	529071	591950	4459011	4988963	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-SWT2	"SWT2_CPB"	03	2012
UCSDT2	13.24	cms	214549	1164136	1277797	15413142	16918047	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_UCSD	"UCSDT2","UCSDT2-B"	03	2012
UFlorida-HPC	9.66	cms	228152	1498049	1586846	14471164	15329014	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Florida	"UFlorida-HPC"	03	2012
UFlorida-PG	6.14	cms	44108	177904	193086	1092334	1185562	2012-03-01	2012-03-31	2012-04-07 17:53:10	T2_US_Florida	"UFlorida-PG"	03	2012
USCMS-FNAL-WC1	10.264	cms	373022	4868263	5135610	49967901	52711929	2012-03-01	2012-03-31	2012-04-07 17:53:10	USCMS-FNAL-WC1-CE	"USCMS-FNAL-WC1-CE"	03	2012
UTA_SWT2	11.24	atlas	162001	510548	523836	5738558	5887905	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-SWT2	"UTA_SWT2"	03	2012
WT2	11.292	atlas	819709	2069095	2288419	23364217	25840830	2012-03-01	2012-03-31	2012-04-07 17:53:10	US-WT2	"WT2"	03	2012
