AGLT2	atlas	2050033	1842255	3914792	15659168	2227192	4732782	18931128	2	2012	2012-02-01	2012-02-29	2.125	8.5	2012-03-08 00:15:04
BNL-ATLAS	atlas	2319226	2677455	8281362	33125448	3281705	10150316	40601264	2	2012	2012-02-01	2012-02-29	3.093	12.372	2012-03-08 00:15:50
BU_ATLAS_Tier2	atlas	238593	238138	498900	1995600	628317	1316325	5265300	2	2012	2012-02-01	2012-02-29	2.095	8.38	2012-03-08 00:15:54
CIT_CMS_T2	cms	213584	479416	1551392	6205568	607591	1966188	7864752	2	2012	2012-02-01	2012-02-29	3.236	12.944	2012-03-08 00:15:55
GLOW	cms	250485	817071	1967502	7870008	929790	2238945	8955780	2	2012	2012-02-01	2012-02-29	2.408	9.632	2012-03-08 00:15:58
HU_ATLAS_Tier2	atlas	420416	928816	2060113	8240452	1054276	2338387	9353548	2	2012	2012-02-01	2012-02-29	2.218	8.872	2012-03-08 00:16:00
LC-glcc	alice	110418	254483	997573	3990292	318850	1249893	4999572	2	2012	2012-02-01	2012-02-29	3.92	15.68	2012-03-08 00:16:01
MIT_CMS	cms	151455	503886	943264	3773056	564204	1056205	4224820	2	2012	2012-02-01	2012-02-29	1.872	7.488	2012-03-08 00:16:01
MWT2	atlas	584251	1652827	3599858	14399432	1969637	4289868	17159472	2	2012	2012-02-01	2012-02-29	2.178	8.712	2012-03-08 00:16:03
Nebraska	atlas	970	89	232	928	72	188	752	2	2012	2012-02-06	2012-02-29	2.603	10.412	2012-03-08 00:16:03
Nebraska	cms	201514	1081499	2815126	11260504	1179437	3070084	12280336	2	2012	2012-02-01	2012-02-29	2.603	10.412	2012-03-08 00:16:03
NERSC-PDSF	alice	73130	29198	101608	406432	86302	300329	1201316	2	2012	2012-02-01	2012-02-29	3.48	13.92	2012-03-08 00:16:03
OU_OCHEP_SWT2	atlas	163396	178270	401997	1607988	196989	444211	1776844	2	2012	2012-02-01	2012-02-29	2.255	9.02	2012-03-08 00:16:06
Purdue-Hansen	cms	60135	159363	345818	1383272	194299	421627	1686508	2	2012	2012-02-01	2012-02-29	2.17	8.68	2012-03-08 00:16:06
Purdue-RCAC	cms	139062	363735	1102480	4409920	436506	1323046	5292184	2	2012	2012-02-01	2012-02-29	3.031	12.124	2012-03-08 00:16:06
Purdue-Rossmann	cms	102469	516720	1451985	5807940	585761	1645995	6583980	2	2012	2012-02-01	2012-02-29	2.81	11.24	2012-03-08 00:16:07
Purdue-Steele	cms	6328	4212	13461	53844	4042	12919	51676	2	2012	2012-02-01	2012-02-29	3.196	12.784	2012-03-08 00:16:08
SPRACE	cms	55927	32913	110908	443632	89135	300387	1201548	2	2012	2012-02-01	2012-02-29	3.37	13.48	2012-03-08 00:16:09
SWT2_CPB	atlas	317370	356125	750356	3001424	431137	908408	3633632	2	2012	2012-02-01	2012-02-29	2.107	8.428	2012-03-08 00:16:10
UCSDT2	cms	168280	819968	2714090	10856360	948019	3137945	12551780	2	2012	2012-02-01	2012-02-29	3.31	13.24	2012-03-08 00:16:10
UFlorida-HPC	cms	287778	813877	1965516	7862064	916833	2214147	8856588	2	2012	2012-02-01	2012-02-29	2.415	9.66	2012-03-08 00:16:13
UFlorida-PG	cms	50432	182213	279686	1118744	211313	324364	1297456	2	2012	2012-02-01	2012-02-29	1.535	6.14	2012-03-08 00:16:15
USCMS-FNAL-WC1	cms	375266	3507906	9001283	36005132	3903260	10015755	40063020	2	2012	2012-02-01	2012-02-29	2.566	10.264	2012-03-08 00:16:15
UTA_SWT2	atlas	148451	350678	985405	3941620	359629	1010561	4042244	2	2012	2012-02-01	2012-02-29	2.81	11.24	2012-03-08 00:16:19
WT2	atlas	835394	1123995	3173039	12692156	1310714	3700147	14800588	2	2012	2012-02-01	2012-02-29	2.823	11.292	2012-03-08 00:16:19
