USA	1.32	0	0
US-AGLT2	1.32.1	0	0
AGLT2	1.32.1.1	1	0
T2_US_Purdue	1.32.10	0	0
Purdue-RCAC	1.32.10.1	1	0
Purdue-Steele	1.32.10.2	1	0
T2_US_UCSD	1.32.11	0	0
UCSDT2	1.32.11.1	1	0
T2_US_Wisconsin	1.32.12	0	0
GLOW	1.32.12.1	1	0
US-NET2	1.32.2	0	0
BU_ATLAS_Tier2	1.32.2.1	1	0
US-MWT2	1.32.3	0	0
MWT2_UC	1.32.3.1	1	0
MWT2_IU	1.32.3.2	1	0
US-SWT2	1.32.4	0	0
OU_OCHEP_SWT2	1.32.4.1	1	0
UTA_SWT2	1.32.4.2	1	0
SWT2_CPB	1.32.4.3	1	0
US-WT2	1.32.5	0	0
WT2	1.32.5.1	1	0
T2_US_Caltech	1.32.6	0	0
CIT_CMS_T2	1.32.6.1	1	0
T2_US_Florida	1.32.7	0	0
Uflorida-PG	1.32.7.1	1	0
UFlorida-HPC	1.32.7.2	1	0
T2_US_MIT	1.32.8	0	0
MIT_CMS	1.32.8.1	1	0
T2_US_Nebraska	1.32.9	0	0
Nebraska	1.32.9.1	1	0
Brazil	1.4	0	0
BR-SP-SPRACE	1.4.1	0	0
SPRACE	1.4.1.1	1	0
