AGLT2	usatlas	997591	2522265	5359814	21439256	2805106	5960851	23843404	6	2011	2011-06-01	2011-06-30	2.125	8.5	2011-07-11 14:07:03
BNL_ATLAS_1	usatlas	3609783	2838738	8780218	35120872	3245838	10039376	40157504	6	2011	2011-06-01	2011-06-30	3.093	12.372	2011-07-11 14:07:01
BU_ATLAS_Tier2	usatlas	232022	303022	634830	2539320	324776	680406	2721624	6	2011	2011-06-01	2011-06-30	2.095	8.38	2011-07-11 14:07:17
CIT_CMS_T2	cms	251112	608740	1969883	7879532	696681	2254459	9017836	6	2011	2011-06-01	2011-06-30	3.236	12.944	2011-07-11 14:07:18
CIT_CMS_T2	usatlas	9	0	0	0	0	0	0	6	2011	2011-06-24	2011-06-30	3.236	12.944	2011-07-11 14:07:18
GLOW	cms	696707	810616	1951964	7807856	1448916	3488989	13955956	6	2011	2011-06-01	2011-06-30	2.408	9.632	2011-07-11 14:07:07
GLOW	usatlas	8	0	0	0	0	0	0	6	2011	2011-06-24	2011-06-26	2.408	9.632	2011-07-11 14:07:07
GridUNESP_CENTRAL	alice	0	0	0	0	0	0	0	6	2011	2011-07-11	2011-07-11	3.672	14.688	2011-07-11 14:07:03
GridUNESP_CENTRAL	atlas	0	0	0	0	0	0	0	6	2011	2011-07-11	2011-07-11	3.672	14.688	2011-07-11 14:07:03
GridUNESP_CENTRAL	cms	0	0	0	0	0	0	0	6	2011	2011-07-11	2011-07-11	3.672	14.688	2011-07-11 14:07:03
GridUNESP_CENTRAL	usatlas	0	0	0	0	0	0	0	6	2011	2011-07-11	2011-07-11	3.672	14.688	2011-07-11 14:07:03
GridUNESP_CENTRAL	uscms	0	0	0	0	0	0	0	6	2011	2011-07-11	2011-07-11	3.672	14.688	2011-07-11 14:07:03
HEPGRID_UERJ	cms	46109	52828	168837	675348	71390	228162	912648	6	2011	2011-06-01	2011-06-30	3.196	12.784	2011-07-11 14:07:17
HU_ATLAS_Tier2	usatlas	164065	719691	1596275	6385100	740848	1643201	6572804	6	2011	2011-06-01	2011-06-30	2.218	8.872	2011-07-11 14:06:54
LC-glcc	alice	113982	133162	521993	2087972	547316	2145479	8581916	6	2011	2011-06-01	2011-06-30	3.92	15.68	2011-07-11 14:06:54
MIT_CMS	cms	253490	866382	1621868	6487472	960121	1797347	7189388	6	2011	2011-06-01	2011-06-30	1.872	7.488	2011-07-11 14:06:56
MWT2_IU	usatlas	65	248	539	2156	265	575	2300	6	2011	2011-06-01	2011-06-02	2.17	8.68	2011-07-11 14:07:01
MWT2_UC	usatlas	821194	2635788	5740746	22962984	2776819	6047912	24191648	6	2011	2011-06-01	2011-06-30	2.178	8.712	2011-07-11 14:07:11
Nebraska	cms	188367	583498	1518845	6075380	633578	1649203	6596812	6	2011	2011-06-01	2011-06-30	2.603	10.412	2011-07-11 14:07:04
Nebraska	usatlas	4504	0	0	0	16	43	172	6	2011	2011-06-01	2011-06-30	2.603	10.412	2011-07-11 14:07:04
NERSC-PDSF	alice	69545	113139	386934	1547736	261121	893032	3572128	6	2011	2011-06-01	2011-06-30	3.42	13.68	2011-07-11 14:06:44
OU_OCHEP_SWT2	usatlas	265759	500442	1128497	4513988	533294	1202578	4810312	6	2011	2011-06-01	2011-06-30	2.255	9.02	2011-07-11 14:06:50
Purdue-RCAC	cms	92901	153742	465993	1863972	377007	1142708	4570832	6	2011	2011-06-01	2011-06-30	3.031	12.124	2011-07-11 14:07:08
Purdue-Rossmann	cms	487708	1293502	3634742	14538968	1680261	4721532	18886128	6	2011	2011-06-01	2011-06-30	2.81	11.24	2011-07-11 14:07:03
Purdue-Steele	cms	16114	113430	362522	1450088	119487	381881	1527524	6	2011	2011-06-01	2011-06-30	3.196	12.784	2011-07-11 14:06:55
SPRACE	cms	82461	21014	70816	283264	97688	329209	1316836	6	2011	2011-06-01	2011-06-30	3.37	13.48	2011-07-11 14:06:45
SWT2_CPB	usatlas	204918	613329	1292285	5169140	673565	1419202	5676808	6	2011	2011-06-01	2011-06-30	2.107	8.428	2011-07-11 14:06:49
UCSDT2	cms	267497	620712	2054558	8218232	721449	2387996	9551984	6	2011	2011-06-01	2011-06-30	3.31	13.24	2011-07-11 14:06:54
UCSDT2	usatlas	11	0	0	0	0	1	4	6	2011	2011-06-24	2011-06-26	3.31	13.24	2011-07-11 14:06:54
UFlorida-HPC	cms	222429	802500	1938038	7752152	1050827	2537748	10150992	6	2011	2011-06-01	2011-06-30	2.415	9.66	2011-07-11 14:06:50
UFlorida-HPC	usatlas	11	0	0	0	2	4	16	6	2011	2011-06-06	2011-06-27	2.415	9.66	2011-07-11 14:06:50
UFlorida-PG	cms	107801	222233	341128	1364512	254235	390251	1561004	6	2011	2011-06-01	2011-06-30	1.535	6.14	2011-07-11 14:06:59
UFlorida-PG	usatlas	4	0	0	0	0	0	0	6	2011	2011-06-24	2011-06-27	1.535	6.14	2011-07-11 14:06:59
USCMS-FNAL-WC1-CE	cms	432450	4344914	11149051	44596204	4675525	11997396	47989584	6	2011	2011-06-01	2011-06-30	2.566	10.264	2011-07-11 14:07:11
UTA_SWT2	usatlas	99662	796649	2238584	8954336	800215	2248604	8994416	6	2011	2011-06-01	2011-06-30	2.81	11.24	2011-07-11 14:06:48
WT2	usatlas	549685	953280	2691109	10764436	1052579	2971431	11885724	6	2011	2011-06-01	2011-06-30	2.823	11.292	2011-07-11 14:07:02
