AGLT2	10.29	atlas	460985	2687209	3053664	27651378	31422206	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-AGLT2	"AGLT2_CE_2","AGLT2_SL6"	02	2014
BNL-ATLAS	10.05	atlas	4739949	7104915	8029295	71404392	80694417	2014-02-01	2014-02-28	2014-03-26 16:48:29	BNL_ATLAS_1	"BNL_ATLAS_1","BNL_ATLAS_2","BNL_ATLAS_3","BNL_ATLAS_4","BNL_ATLAS_5","BNL_ATLAS_6","BNL_ATLAS_7","BNL_ATLAS_8"	02	2014
BU_ATLAS_Tier2	9.32	atlas	644831	1704675	1863494	15887572	17367759	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-NET2	"NET2"	02	2014
CIT_CMS_T2	12.944	cms	239065	473129	860144	6124174	11133712	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Caltech	"CIT_CMS_T2","CIT_CMS_T2B"	02	2014
GLOW	9.632	cms	282814	1220455	1483165	11755437	14285856	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Wisconsin	"GLOW","GLOW-CMS"	02	2014
GridUNESP_CENTRAL	14.688	alice	0	0	0	0	0	2014-02-01	2014-02-01	2014-03-26 16:48:29	BR-SP-SPRACE	"GridUNESP_CENTRAL"	02	2014
GridUNESP_CENTRAL	14.688	usatlas	0	0	0	0	0	2014-02-01	2014-02-01	2014-03-26 16:48:29	BR-SP-SPRACE	"GridUNESP_CENTRAL"	02	2014
GridUNESP_CENTRAL	14.688	atlas	0	0	0	0	0	2014-02-01	2014-02-01	2014-03-26 16:48:29	BR-SP-SPRACE	"GridUNESP_CENTRAL"	02	2014
GridUNESP_CENTRAL	14.688	uscms	0	0	0	0	0	2014-02-01	2014-02-01	2014-03-26 16:48:29	BR-SP-SPRACE	"GridUNESP_CENTRAL"	02	2014
GridUNESP_CENTRAL	14.688	cms	0	0	0	0	0	2014-02-01	2014-02-01	2014-03-26 16:48:29	BR-SP-SPRACE	"GridUNESP_CENTRAL"	02	2014
HU_ATLAS_Tier2	9.44	atlas	223692	979729	989672	9248639	9342498	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-NET2	"NET2_HU"	02	2014
LC-glcc	15.68	alice	347499	283725	463611	4448811	7269427	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-LLNL-ALICE	"LC-glcc"	02	2014
LUCILLE	9.1	atlas	25031	222349	328167	2023380	2986314	2014-02-01	2014-02-19	2014-03-26 16:48:29	US-SWT2	"Lucille_CE"	02	2014
MIT_CMS	10.8	cms	267064	1125271	1350572	12152917	14586169	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_MIT	"MIT_CMS","MIT_CMS_2"	02	2014
MWT2	9.26	atlas	870100	3677229	4453547	34051141	41239840	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-MWT2	"MWT2","MWT2_CE_IU","MWT2_CE_UC","MWT2_CE_UIUC"	02	2014
NERSC-PDSF	16.614	alice	160273	255350	471847	4242381	7839274	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-LBNL-ALICE	"NERSC-PDSF"	02	2014
Nebraska	10.412	cms	371568	792843	1000115	8255080	10413186	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	02	2014
OU_OCHEP_SWT2	8.82	atlas	190736	483131	531866	4261218	4691062	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-SWT2	"OU_OCHEP_SWT2"	02	2014
OU_OSCER_ATLAS	14.22	atlas	45492	200233	206694	2847317	2939184	2014-02-01	2014-02-28	2014-03-26 16:48:29	US-SWT2	"OU_OSCER_ATLAS"	02	2014
Purdue-Carter	16.4	cms	112418	431721	532358	7080231	8730659	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Purdue	"Purdue-Carter"	02	2014
Purdue-Conte	10.25	cms	53748	177578	227369	1820184	2330517	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Purdue	"Purdue-Conte"	02	2014
Purdue-Hansen	8.68	cms	31320	131980	158686	1145583	1377388	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Purdue	"Purdue-Hansen"	02	2014
Purdue-RCAC	12.124	cms	75978	109872	376160	1332104	4560560	2014-02-01	2014-02-28	2014-03-26 16:48:29	T2_US_Purdue	"Purdue-RCAC"	02	2014
