AGLT2	usatlas	838925	1257766	4410984	17643936	1522579	5339685	21358740	4	2010	2010-04-01	2010-04-30	3.507	14.028	2010-05-15 00:15:06
BNL_ATLAS_1	cms	4	0	0	0	0	0	0	4	2010	2010-04-12	2010-04-27	2.302	9.208	2010-05-15 00:15:04
BNL_ATLAS_1	usatlas	1359959	1667046	3837541	15350164	1997027	4597155	18388620	4	2010	2010-04-01	2010-04-30	2.302	9.208	2010-05-15 00:15:04
BU_ATLAS_Tier2	usatlas	552465	237767	688811	2755244	354905	1028161	4112644	4	2010	2010-04-01	2010-04-30	2.897	11.588	2010-05-15 00:15:06
CIT_CMS_T2	cms	116396	256561	781484	3125936	400925	1221218	4884872	4	2010	2010-04-01	2010-04-30	3.046	12.184	2010-05-15 00:15:06
GLOW	cms	187281	386925	931715	3726860	519585	1251162	5004648	4	2010	2010-04-01	2010-04-30	2.408	9.632	2010-05-15 00:15:06
GLOW	usatlas	529	1	2	8	57	138	552	4	2010	2010-04-01	2010-04-25	2.408	9.632	2010-05-15 00:15:06
GridUNESP_CENTRAL	cms	1	0	0	0	0	0	0	4	2010	2010-04-08	2010-04-08	3.672	14.688	2010-05-15 00:15:06
HEPGRID_UERJ	cms	36870	5081	10756	43024	28761	60887	243548	4	2010	2010-04-01	2010-04-30	2.117	8.468	2010-05-15 00:15:06
IU_OSG	usatlas	8282	9547	20057	80228	10086	21191	84764	4	2010	2010-04-01	2010-04-21	2.101	8.404	2010-05-15 00:15:04
MIT_CMS	cms	145913	370217	693046	2772184	474767	888763	3555052	4	2010	2010-04-01	2010-04-30	1.872	7.488	2010-05-15 00:15:04
MIT_CMS	usatlas	416	0	1	4	21	39	156	4	2010	2010-04-01	2010-04-29	1.872	7.488	2010-05-15 00:15:04
MWT2_IU	usatlas	136879	436604	1021217	4084868	450611	1053979	4215916	4	2010	2010-04-01	2010-04-30	2.339	9.356	2010-05-15 00:15:05
MWT2_UC	usatlas	359753	713219	1746674	6986696	776994	1902859	7611436	4	2010	2010-04-01	2010-04-30	2.449	9.796	2010-05-15 00:15:06
Nebraska	cms	129312	268959	545180	2180720	351007	711491	2845964	4	2010	2010-04-01	2010-04-30	2.027	8.108	2010-05-15 00:15:06
Nebraska	usatlas	24968	68	138	552	1016	2059	8236	4	2010	2010-04-01	2010-04-30	2.027	8.108	2010-05-15 00:15:06
OU_OCHEP_SWT2	usatlas	467105	3658	8738	34952	20301	48500	194000	4	2010	2010-04-01	2010-04-23	2.389	9.556	2010-05-15 00:15:04
Purdue-RCAC	cms	125101	351620	1013721	4054884	452162	1303583	5214332	4	2010	2010-04-01	2010-04-30	2.883	11.532	2010-05-15 00:15:06
Purdue-Steele	cms	14797	124539	398026	1592104	130537	417195	1668780	4	2010	2010-04-01	2010-04-30	3.196	12.784	2010-05-15 00:15:04
SPRACE	cms	39779	12249	25930	103720	40114	84921	339684	4	2010	2010-04-01	2010-04-30	2.117	8.468	2010-05-15 00:15:04
SPRACE	usatlas	651	0	0	0	28	60	240	4	2010	2010-04-01	2010-04-30	2.117	8.468	2010-05-15 00:15:04
SWT2_CPB	usatlas	603627	307969	578058	2312232	356797	669708	2678832	4	2010	2010-04-01	2010-04-30	1.877	7.508	2010-05-15 00:15:04
UCSDT2	cms	165039	348138	999504	3998016	525789	1509540	6038160	4	2010	2010-04-01	2010-04-30	2.871	11.484	2010-05-15 00:15:04
UCSDT2	usatlas	786	0	1	4	29	84	336	4	2010	2010-04-01	2010-04-30	2.871	11.484	2010-05-15 00:15:04
UFlorida-HPC	cms	236404	296588	716260	2865040	440357	1063461	4253844	4	2010	2010-04-01	2010-04-30	2.415	9.66	2010-05-15 00:15:04
UFlorida-HPC	usatlas	447	9	23	92	26	64	256	4	2010	2010-04-01	2010-04-30	2.415	9.66	2010-05-15 00:15:04
UFlorida-PG	cms	40503	60708	93187	372748	82862	127193	508772	4	2010	2010-04-01	2010-04-30	1.535	6.14	2010-05-15 00:15:04
UFlorida-PG	usatlas	643	0	1	4	24	38	152	4	2010	2010-04-01	2010-04-30	1.535	6.14	2010-05-15 00:15:04
USCMS-FNAL-WC1-CE	cms	628237	1130600	2255548	9022192	1576471	3145059	12580236	4	2010	2010-04-01	2010-04-30	1.995	7.98	2010-05-15 00:15:06
USCMS-FNAL-WC1-CE	usatlas	633	0	0	0	67	133	532	4	2010	2010-04-01	2010-04-30	1.995	7.98	2010-05-15 00:15:06
UTA_SWT2	usatlas	153030	302935	863668	3454672	312040	889627	3558508	4	2010	2010-04-01	2010-04-30	2.851	11.404	2010-05-15 00:15:04
WT2	usatlas	569959	950512	2292634	9170536	1015941	2450450	9801800	4	2010	2010-04-01	2010-04-30	2.412	9.648	2010-05-15 00:15:05
