AGLT2	8.5	atlas	588948	1668165	2117570	14179398	17999345	2012-09-01	2012-09-30	2012-10-01 00:15:24	US-AGLT2	"AGLT2","AGLT2_CE_2"	09	2012
BNL-ATLAS	12.372	atlas	1910117	6017410	6897119	74447401	85331153	2012-09-01	2012-09-30	2012-10-01 00:15:24	BNL_ATLAS_1	"BNL_ATLAS_1","BNL_ATLAS_2","BNL_ATLAS_3","BNL_ATLAS_4","BNL_ATLAS_5","BNL_ATLAS_6","BNL_ATLAS_7"	09	2012
BU_ATLAS_Tier2	8.38	atlas	249835	579781	650322	4858569	5449705	2012-09-01	2012-09-30	2012-10-01 00:15:24	US-NET2	"BU_ATLAS_Tier2","NET2"	09	2012
CIT_CMS_T2	12.944	atlas	2	0	0	0	0	2012-09-26	2012-09-26	2012-10-01 00:15:24	T2_US_Caltech	"CIT_CMS_T2","CIT_CMS_T2B"	09	2012
CIT_CMS_T2	12.944	cms	178750	879725	1026553	11387172	13287705	2012-09-01	2012-09-30	2012-10-01 00:15:24	T2_US_Caltech	"CIT_CMS_T2","CIT_CMS_T2B"	09	2012
GLOW	9.632	cms	301462	1570591	1846204	15127900	17782601	2012-09-01	2012-09-30	2012-10-01 00:15:24	T2_US_Wisconsin	"GLOW","GLOW-CMS"	09	2012
GridUNESP_CENTRAL	14.688	atlas	9	0	0	0	5	2012-09-26	2012-09-26	2012-10-01 00:15:24	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2012
GridUNESP_CENTRAL	14.688	cms	2	0	0	0	1	2012-09-20	2012-09-20	2012-10-01 00:15:24	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2012
HU_ATLAS_Tier2	8.872	atlas	109581	920551	1173945	8167124	10415240	2012-09-01	2012-09-30	2012-10-01 00:15:24	US-NET2	"HU_ATLAS_Tier2"	09	2012
LC-glcc	15.68	alice	123987	189903	315518	2977686	4947319	2012-09-01	2012-09-30	2012-10-01 00:15:24	US-LLNL-ALICE	"LC-glcc"	09	2012
MIT_CMS	7.488	cms	274253	1532008	1689427	11471666	12650461	2012-09-01	2012-09-30	2012-10-01 00:15:24	T2_US_MIT	"MIT_CMS","MIT_CMS_2"	09	2012
MWT2	8.712	atlas	620993	4303313	3601933	37490458	31380049	2012-09-01	2012-09-30	2012-10-01 00:15:24	US-MWT2	"MWT2","MWT2_CE_IU","MWT2_CE_UC","MWT2_CE_UIUC"	09	2012
NERSC-PDSF	13.92	alice	179814	326406	408414	4543566	5685121	2012-09-01	2012-09-30	2012-10-01 00:15:24	US-LBNL-ALICE	"NERSC-PDSF"	09	2012
Nebraska	10.412	atlas	6784	7	124	68	1295	2012-09-01	2012-09-30	2012-10-01 00:15:24	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	09	2012
Nebraska	10.412	cms	277462	1257650	1530904	13094763	15939752	2012-09-01	2012-09-30	2012-10-01 00:15:24	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	09	2012
